,id,keywords
86,52362,"[{'id': 212, 'name': 'london, england'}, {'id': 100, 'name': 'slum'}, {'id': 10048, 'name': 'unrequited love'}, {'id': 10163, 'name': 'cancer'}, {'id': 221220, 'name': 'cockneys'}, {'id': 240237, 'name': 'mother son relationship'}, {'id': 272694, 'name': 'east london'}]"
87,81030,[]
88,43501,"[{'id': 2692, 'name': 'arranged marriage'}, {'id': 5642, 'name': 'beggar'}, {'id': 5894, 'name': 'bagdad'}, {'id': 10181, 'name': 'based on play or musical'}, {'id': 208652, 'name': 'caliph'}]"
89,218086,"[{'id': 1956, 'name': 'world war ii'}, {'id': 2111, 'name': 'soviet union'}]"
90,42294,"[{'id': 9807, 'name': 'film noir'}, {'id': 14743, 'name': 'pianist'}, {'id': 221999, 'name': 'guadeloupe'}, {'id': 228164, 'name': 'torture victim'}]"
91,85574,"[{'id': 1968, 'name': 'prisoner of war'}]"
92,50066,"[{'id': 154855, 'name': 'wedding anniversary'}, {'id': 154856, 'name': 'fox hunt'}, {'id': 268006, 'name': 'edward vii'}]"
93,17661,"[{'id': 242, 'name': 'new york city'}, {'id': 2318, 'name': 'choir'}, {'id': 3230, 'name': 'male friendship'}, {'id': 4344, 'name': 'musical'}, {'id': 10093, 'name': 'priest'}, {'id': 12999, 'name': 'black and white'}, {'id': 172391, 'name': 'catholic priest'}]"
94,13528,"[{'id': 770, 'name': 'scotland yard'}, {'id': 2887, 'name': 'manipulation'}, {'id': 8250, 'name': 'victorian england'}, {'id': 9332, 'name': 'psychological abuse'}, {'id': 9826, 'name': 'murder'}, {'id': 12565, 'name': 'psychological thriller'}, {'id': 15274, 'name': 'nervous breakdown'}, {'id': 191476, 'name': 'driven mad'}, {'id': 214651, 'name': 'gaslight'}, {'id': 236377, 'name': 'emotional abuse'}, {'id': 267689, 'name': 'gaslighting'}]"
95,84084,"[{'id': 840, 'name': 'usa president'}, {'id': 2307, 'name': 'princeton university'}, {'id': 5565, 'name': 'biography'}, {'id': 6165, 'name': 'historical figure'}, {'id': 210184, 'name': '1910s'}, {'id': 236170, 'name': '1900s'}, {'id': 262837, 'name': 'woodrow wilson'}]"
96,191478,"[{'id': 10181, 'name': 'based on play or musical'}, {'id': 10968, 'name': 'lingerie'}, {'id': 12372, 'name': 'lingerie slip'}, {'id': 33386, 'name': 'old flame'}, {'id': 156578, 'name': 'newlywed'}, {'id': 317810, 'name': 'sexy lingerie'}]"
97,265495,[]
98,69847,"[{'id': 10168, 'name': 'aviation'}, {'id': 161246, 'name': 'pacific theater'}]"
99,80941,"[{'id': 380, 'name': 'sibling relationship'}, {'id': 4344, 'name': 'musical'}, {'id': 41599, 'name': 'sailor'}]"
100,42879,"[{'id': 33564, 'name': 'u.s. soldier'}, {'id': 155457, 'name': 'screwball comedy'}, {'id': 160362, 'name': 'screwball'}, {'id': 187614, 'name': 'small town girl'}]"
101,36498,"[{'id': 1415, 'name': 'small town'}, {'id': 456, 'name': 'mother'}, {'id': 1701, 'name': 'hero'}, {'id': 6256, 'name': 'truth'}, {'id': 718, 'name': 'confession'}, {'id': 1956, 'name': 'world war ii'}, {'id': 1919, 'name': 'mayor'}, {'id': 2251, 'name': 'lie'}, {'id': 8201, 'name': 'satire'}, {'id': 33482, 'name': 'war hero'}, {'id': 158780, 'name': 'u.s. marine'}, {'id': 169140, 'name': 'military discharge'}, {'id': 177758, 'name': 'false pretenses'}, {'id': 217083, 'name': 'reluctant hero'}, {'id': 221829, 'name': 'hero worship'}, {'id': 237230, 'name': 'taken under wing'}, {'id': 254277, 'name': ""hero's fall""}, {'id': 272385, 'name': 'mayoral election'}, {'id': 279634, 'name': 'allergies'}, {'id': 283118, 'name': 'return to hometown'}, {'id': 295478, 'name': 'u.s. marine corps'}, {'id': 316056, 'name': 'deceased father'}, {'id': 317217, 'name': 'honorable'}]"
102,43504,"[{'id': 1956, 'name': 'world war ii'}, {'id': 5565, 'name': 'biography'}]"
103,48989,"[{'id': 2652, 'name': 'nazi'}, {'id': 11038, 'name': 'trial'}, {'id': 156075, 'name': 'evil'}, {'id': 208540, 'name': 'war criminal'}]"
